titulo,score,votes,gross
260.A Família Addams(2019),5.8,25546,10004
"261.Lucas, um Intruso no Formigueiro(2006)",5.8,36534,2814
262.A Era do Gelo: O Big Bang(2016),5.7,55501,6406
263.O Que Será de Nozes?(I) (2014),5.7,26279,6425
264.Aviões(2013),5.7,41791,9029
265.O Galinho Chicken Little(2005),5.7,84668,13539
266.Looney Tunes: De Volta à Ação(2003),5.7,32641,2099
267.O Segredo dos Animais(2006),5.5,27320,7278
268.O Pequeno Stuart Little 2(2002),5.5,49600,6496
269.Hop: Rebelde Sem Páscoa(2011),5.4,30900,10809
270.Os Smurfs(2011),5.4,82669,14261
271.Os Smurfs 2(2013),5.3,37325,7102
272.Alvin e os Esquilos(2007),5.2,75414,21733
273.Força-G(2009),5.1,42163,11944
274.Garfield 2(2006),5,38289,2843
275.Garfield: O Filme(2004),5,78129,7537
276.Alvin e os Esquilos 2(2009),4.5,42906,21961
277.Alvin e os Esquilos 3(2011),4.3,30868,13311
278.Emoji: O Filme(2017),3.3,54701,8609
